fieldName,fieldType,doc,default
FRTPOLICY,"""string""",,
OCCEXP,"""double""",,
OMAIL,"""string""",,
DEPNO,"""string""",,
CHGJOBUSR,"""string""",,
PICKL,"""double""",,
SDISC,"""double""",,
FILCOD,"""string""",,
CNAME,"""string""",,
LTIME,"""double""",,
ORORD,"""string""",,
SYSTBLNAM,"""string""",,
BTCNTY,"""string""",,
SYSFTBLSCM,"""string""",,
CADD3,"""string""",,
JRNDATTIM,"""string""",,
DLVR1,"""string""",,
TORTAX,"""double""",,
DLVRCD,"""string""",,
ORDTP,"""string""",,
AINTF,"""double""",,
CRRETC,"""string""",,
EXTAX,"""string""",,
SYSFTBLNAM,"""string""",,
BOLEV,"""double""",,
CSORD,"""string""",,
CHGDATTIM,"""string""",,
DLVAL1,"""string""",,
SAVIH,"""string""",,
TAXEX,"""string""",,
PINTF,"""double""",,
DEVAL,"""double""",,
JRNSEQNO,"""double""",,
RECSTATS,"""string""",,
OREORD,"""double""",,
OALTCC,"""string""",,
OSHTEL,"""string""",,
OFDOC,"""string""",,
FDATE,"""double""",,
INVNO,"""string""",,
SCURR,"""string""",,
TORVAL,"""double""",,
LDATE,"""double""",,
CADD4,"""string""",,
ORIGBR,"""string""",,
DUTIME,"""double""",,
GRPSCD,"""string""",,
VRFIED,"""string""",,
CUSTP,"""string""",,
DLVAL2,"""string""",,
CADD1,"""string""",,
DLVAL3,"""string""",,
PROCESSID,"""long""",,
PRSEL,"""string""",,
CPERSN,"""string""",,
OTYPE,"""double""",,
CCRDTY,"""double""",,
OCHGCD,"""string""",,
DEPUS,"""double""",,
RRNNUM,"""double""",,
ASINV,"""double""",,
RDYRLS,"""string""",,
OTRMCD,"""string""",,
WJOBBR,"""double""",,
OFRTPD,"""string""",,
SACOD,"""string""",,
STCO,"""string""",,
VLDAMT,"""double""",,
UPLIFT,"""double""",,
IOACK,"""string""",,
CHGJOBNM,"""string""",,
SHCOD,"""string""",,
TAFVAL,"""double""",,
MERCHA,"""string""",,
DLVAL4,"""string""",,
DEPRE,"""double""",,
TORCOR,"""double""",,
TORCST,"""double""",,
STCNTY,"""string""",,
CADD2,"""string""",,
ORDER,"""int""",,
DSDAT,"""double""",,
THAVAL,"""double""",,
INVCE,"""double""",,
PFORWD,"""string""",,
CUSNO,"""double""",,
OSHFAX,"""string""",,
ORTYPE,"""string""",,
ORDAT,"""double""",,
COMITID,"""double""",,
DSPCH,"""double""",,
DEPOS,"""double""",,
RSTAT,"""double""",,
CPAYMN,"""double""",,
OCC,"""string""",,
FTIME,"""double""",,
LWSID,"""string""",,
ORDCLS,"""string""",,
BRNCH,"""int""",,
WPSWDB,"""string""",,
DLVR2,"""string""",,
CHGJOBNBR,"""double""",,
EVENTTYP,"""string""",,
WJOBNO,"""double""",,
DUDATE,"""double""",,
SYSTBLSCM,"""string""",,
FRNCH,"""string""",,